11,0.0020363,{seq: "SMRT-Bell", range: "[3-33]", dir: "f"},{seq: "Payload", range: "[2796-2806]", dir: "f"}
11,0.0020363,{seq: "SMRT-Bell", range: "[3-41]", dir: "f"},{seq: "Payload", range: "[2182-2194]", dir: "t"}
11,0.0020363,{seq: "SMRT-Bell", range: "[3-43]", dir: "f"},{seq: "Payload", range: "[2182-2193]", dir: "t"}
11,0.0020363,{seq: "SMRT-Bell", range: "[5-41]", dir: "f"}
11,0.0020363,{seq: "SMRT-Bell", range: "[5-43]", dir: "f"}
10,0.0018512,{seq: "Payload", range: "[2182-2195]", dir: "t"},{seq: "SMRT-Bell", range: "[10-43]", dir: "f"}
10,0.0018512,{seq: "Payload", range: "[2796-2806]", dir: "t"},{seq: "SMRT-Bell", range: "[3-43]", dir: "f"}
10,0.0018512,{seq: "SMRT-Bell", range: "[1-19]", dir: "f"}
10,0.0018512,{seq: "SMRT-Bell", range: "[1-28]", dir: "f"},{seq: "Payload", range: "[2182-2194]", dir: "t"}
10,0.0018512,{seq: "SMRT-Bell", range: "[1-28]", dir: "f"},{seq: "Payload", range: "[2182-2195]", dir: "t"}
10,0.0018512,{seq: "SMRT-Bell", range: "[1-33]", dir: "f"},{seq: "Payload", range: "[2796-2806]", dir: "f"},{seq: "Payload", range: "[2182-2193]", dir: "t"}
10,0.0018512,{seq: "SMRT-Bell", range: "[1-41]", dir: "f"},{seq: "Payload", range: "[2796-2806]", dir: "f"},{seq: "Payload", range: "[2182-2194]", dir: "t"}
10,0.0018512,{seq: "SMRT-Bell", range: "[1-43]", dir: "f"},{seq: "Payload", range: "[2183-2193]", dir: "t"}
10,0.0018512,{seq: "SMRT-Bell", range: "[1-43]", dir: "f"},{seq: "Payload", range: "[2183-2195]", dir: "t"}
10,0.0018512,{seq: "SMRT-Bell", range: "[12-23]", dir: "t"},{seq: "SMRT-Bell", range: "[12-43]", dir: "f"}
10,0.0018512,{seq: "SMRT-Bell", range: "[13-23]", dir: "t"},{seq: "SMRT-Bell", range: "[13-43]", dir: "f"}
9,0.0016660,{seq: "Payload", range: "[2182-2195]", dir: "t"},{seq: "SMRT-Bell", range: "[12-43]", dir: "f"}
9,0.0016660,{seq: "SMRT-Bell", range: "[1-43]", dir: "f"},{seq: "Payload", range: "[2796-2806]", dir: "f"},{seq: "Payload", range: "[2182-2195]", dir: "t"}
9,0.0016660,{seq: "SMRT-Bell", range: "[10-33]", dir: "f"},{seq: "Payload", range: "[2182-2194]", dir: "t"}
9,0.0016660,{seq: "SMRT-Bell", range: "[27-41]", dir: "f"},{seq: "SMRT-Bell", range: "[1-33]", dir: "f"}
9,0.0016660,{seq: "SMRT-Bell", range: "[3-33]", dir: "f"},{seq: "Payload", range: "[2182-2195]", dir: "t"}
8,0.0014809,{seq: "Payload", range: "[2796-2806]", dir: "t"},{seq: "SMRT-Bell", range: "[1-22]", dir: "f"}
8,0.0014809,{seq: "SMRT-Bell", range: "[1-22]", dir: "f"},{seq: "Payload", range: "[2182-2194]", dir: "t"}
8,0.0014809,{seq: "SMRT-Bell", range: "[1-28]", dir: "f"},{seq: "Payload", range: "[2182-2193]", dir: "t"}
8,0.0014809,{seq: "SMRT-Bell", range: "[1-34]", dir: "f"},{seq: "Payload", range: "[2182-2195]", dir: "t"}
8,0.0014809,{seq: "SMRT-Bell", range: "[10-33]", dir: "f"},{seq: "Payload", range: "[2182-2195]", dir: "t"}
8,0.0014809,{seq: "SMRT-Bell", range: "[13-23]", dir: "t"},{seq: "SMRT-Bell", range: "[13-43]", dir: "f"},{seq: "Payload", range: "[2182-2194]", dir: "t"}
8,0.0014809,{seq: "SMRT-Bell", range: "[16-43]", dir: "f"},{seq: "Payload", range: "[2182-2194]", dir: "t"}
8,0.0014809,{seq: "SMRT-Bell", range: "[7-23]", dir: "t"},{seq: "SMRT-Bell", range: "[7-43]", dir: "f"}
